date_of_interest,CASE_COUNT,BX_CASE_COUNT,BK_CASE_COUNT,MN_CASE_COUNT,QN_CASE_COUNT,SI_CASE_COUNT,MM,YY,YY_MM
2/29/2020,1,0,0,1,0,0,2,2020,2020/2
3/1/2020,0,0,0,0,0,0,3,2020,2020/3
3/2/2020,0,0,0,0,0,0,3,2020,2020/3
3/3/2020,1,0,0,0,1,0,3,2020,2020/3
3/4/2020,5,0,1,2,2,0,3,2020,2020/3
3/5/2020,3,0,3,0,0,0,3,2020,2020/3
3/6/2020,8,2,1,3,1,1,3,2020,2020/3
3/7/2020,7,0,2,1,3,1,3,2020,2020/3
3/8/2020,21,3,5,6,6,1,3,2020,2020/3
3/9/2020,57,4,16,24,10,3,3,2020,2020/3
3/10/2020,69,8,11,24,24,2,3,2020,2020/3
3/11/2020,155,19,31,62,40,3,3,2020,2020/3
3/12/2020,355,29,96,137,80,13,3,2020,2020/3
3/13/2020,619,79,166,182,166,26,3,2020,2020/3
3/14/2020,642,86,163,176,194,23,3,2020,2020/3
3/15/2020,1035,119,432,206,231,47,3,2020,2020/3
3/16/2020,2121,305,740,457,528,91,3,2020,2020/3
3/17/2020,2452,343,783,567,651,108,3,2020,2020/3
3/18/2020,2971,482,965,538,835,150,3,2020,2020/3
3/19/2020,3706,623,1204,555,1065,258,3,2020,2020/3
3/20/2020,4006,723,1136,653,1184,310,3,2020,2020/3
3/21/2020,2639,491,554,399,947,248,3,2020,2020/3
3/22/2020,2580,495,755,317,696,317,3,2020,2020/3
3/23/2020,3570,729,910,530,1192,209,3,2020,2020/3
3/24/2020,4497,926,1212,619,1390,350,3,2020,2020/3
3/25/2020,4875,1068,1255,586,1572,394,3,2020,2020/3
3/26/2020,5044,998,1372,626,1644,404,3,2020,2020/3
3/27/2020,5119,1090,1426,656,1576,371,3,2020,2020/3
3/28/2020,3479,761,863,388,1201,266,3,2020,2020/3
3/29/2020,3560,699,1149,407,1075,230,3,2020,2020/3
3/30/2020,6129,1314,1754,804,1858,398,3,2020,2020/3
3/31/2020,5458,1282,1512,616,1811,237,3,2020,2020/3
4/1/2020,5449,1240,1590,573,1782,264,4,2020,2020/4
4/2/2020,5746,1289,1610,652,1826,369,4,2020,2020/4
4/3/2020,5670,1452,1440,671,1762,345,4,2020,2020/4
4/4/2020,3866,1012,920,385,1203,345,4,2020,2020/4
4/5/2020,3780,822,1143,356,1135,323,4,2020,2020/4
4/6/2020,6353,1514,1461,721,1927,730,4,2020,2020/4
4/7/2020,6044,1463,1397,605,1949,630,4,2020,2020/4
4/8/2020,5575,1305,1305,546,1857,562,4,2020,2020/4
4/9/2020,5070,1285,1369,558,1560,298,4,2020,2020/4
4/10/2020,4510,1227,1144,495,1343,301,4,2020,2020/4
4/11/2020,3732,998,1131,304,987,311,4,2020,2020/4
4/12/2020,2888,764,703,252,916,253,4,2020,2020/4
4/13/2020,3311,692,1066,394,974,185,4,2020,2020/4
4/14/2020,4144,1076,1038,440,1300,290,4,2020,2020/4
4/15/2020,3876,1068,882,429,1180,317,4,2020,2020/4
4/16/2020,3530,940,884,356,1139,211,4,2020,2020/4
4/17/2020,3586,916,962,330,1099,279,4,2020,2020/4
4/18/2020,2172,552,575,187,705,153,4,2020,2020/4
4/19/2020,2343,532,635,176,866,134,4,2020,2020/4
4/20/2020,3792,981,983,381,1223,224,4,2020,2020/4
4/21/2020,3062,641,896,372,937,216,4,2020,2020/4
4/22/2020,3446,927,854,382,1109,173,4,2020,2020/4
4/23/2020,2841,735,786,400,793,127,4,2020,2020/4
4/24/2020,2535,579,630,408,775,143,4,2020,2020/4
4/25/2020,1595,418,404,145,540,88,4,2020,2020/4
4/26/2020,1003,196,332,98,331,46,4,2020,2020/4
4/27/2020,2290,551,607,302,723,107,4,2020,2020/4
4/28/2020,2726,668,709,323,896,130,4,2020,2020/4
4/29/2020,2340,557,683,285,691,124,4,2020,2020/4
4/30/2020,2022,482,600,217,593,130,4,2020,2020/4
5/1/2020,1887,450,497,240,622,78,5,2020,2020/5
5/2/2020,1058,263,263,138,333,61,5,2020,2020/5
5/3/2020,787,153,245,103,251,35,5,2020,2020/5
5/4/2020,1550,349,461,214,437,89,5,2020,2020/5
5/5/2020,1512,294,433,242,462,81,5,2020,2020/5
5/6/2020,1397,279,450,165,443,60,5,2020,2020/5
5/7/2020,1238,298,403,119,358,60,5,2020,2020/5
5/8/2020,1079,250,344,99,344,42,5,2020,2020/5
5/9/2020,657,175,119,75,256,32,5,2020,2020/5
5/10/2020,457,75,188,95,85,14,5,2020,2020/5
5/11/2020,1232,227,410,192,376,27,5,2020,2020/5
5/12/2020,1285,355,400,163,314,53,5,2020,2020/5
5/13/2020,1333,461,362,156,307,47,5,2020,2020/5
5/14/2020,1110,255,332,149,332,42,5,2020,2020/5
5/15/2020,873,181,259,135,265,33,5,2020,2020/5
5/16/2020,485,108,165,51,136,25,5,2020,2020/5
5/17/2020,360,56,138,50,106,10,5,2020,2020/5
5/18/2020,895,187,266,129,275,38,5,2020,2020/5
5/19/2020,1004,182,327,166,287,42,5,2020,2020/5
5/20/2020,1077,278,323,164,256,56,5,2020,2020/5
5/21/2020,1069,199,336,145,311,78,5,2020,2020/5
5/22/2020,1036,264,350,153,237,32,5,2020,2020/5
5/23/2020,455,90,143,47,138,37,5,2020,2020/5
5/24/2020,467,101,161,69,121,15,5,2020,2020/5
5/25/2020,464,103,160,70,115,16,5,2020,2020/5
5/26/2020,1050,283,313,127,269,58,5,2020,2020/5
5/27/2020,741,184,242,107,165,43,5,2020,2020/5
5/28/2020,646,119,219,97,181,30,5,2020,2020/5
5/29/2020,639,164,162,74,212,27,5,2020,2020/5
5/30/2020,346,82,101,38,110,15,5,2020,2020/5
5/31/2020,230,30,84,25,79,12,5,2020,2020/5
6/1/2020,686,158,250,77,158,43,6,2020,2020/6
6/2/2020,570,123,178,72,163,34,6,2020,2020/6
6/3/2020,515,116,131,75,148,45,6,2020,2020/6
6/4/2020,518,127,128,86,148,29,6,2020,2020/6
6/5/2020,402,108,131,52,103,8,6,2020,2020/6
6/6/2020,247,50,58,33,99,7,6,2020,2020/6
6/7/2020,197,43,52,24,74,4,6,2020,2020/6
6/8/2020,447,96,111,75,146,19,6,2020,2020/6
6/9/2020,419,84,119,66,131,19,6,2020,2020/6
6/10/2020,363,75,99,67,108,14,6,2020,2020/6
6/11/2020,363,66,113,54,114,16,6,2020,2020/6
