date_of_interest,CASE_COUNT,BX_CASE_COUNT,BK_CASE_COUNT,MN_CASE_COUNT,QN_CASE_COUNT,SI_CASE_COUNT,MM,YY,YY_MM
6/12/2020,409,80,122,58,131,18,6,2020,2020/6
6/13/2020,196,47,50,23,74,2,6,2020,2020/6
6/14/2020,180,27,53,28,68,4,6,2020,2020/6
6/15/2020,380,81,103,55,123,18,6,2020,2020/6
6/16/2020,419,80,132,67,120,20,6,2020,2020/6
6/17/2020,356,68,115,65,92,16,6,2020,2020/6
6/18/2020,378,60,112,58,123,25,6,2020,2020/6
6/19/2020,361,82,91,56,123,9,6,2020,2020/6
6/20/2020,203,53,46,44,54,6,6,2020,2020/6
6/21/2020,172,25,55,25,58,9,6,2020,2020/6
6/22/2020,402,92,110,63,119,18,6,2020,2020/6
6/23/2020,381,73,95,76,121,16,6,2020,2020/6
6/24/2020,381,90,101,73,103,14,6,2020,2020/6
6/25/2020,298,65,81,46,78,28,6,2020,2020/6
6/26/2020,317,66,95,63,77,16,6,2020,2020/6
6/27/2020,206,26,70,37,60,13,6,2020,2020/6
6/28/2020,201,35,57,41,57,11,6,2020,2020/6
6/29/2020,437,75,127,80,132,23,6,2020,2020/6
6/30/2020,441,77,127,94,114,29,6,2020,2020/6
7/1/2020,395,59,121,83,93,39,7,2020,2020/7
7/2/2020,416,75,127,79,118,17,7,2020,2020/7
7/3/2020,234,41,72,48,65,8,7,2020,2020/7
7/4/2020,120,21,23,32,32,12,7,2020,2020/7
7/5/2020,155,20,53,32,38,12,7,2020,2020/7
7/6/2020,431,68,142,76,117,28,7,2020,2020/7
7/7/2020,461,112,123,88,106,32,7,2020,2020/7
7/8/2020,437,83,121,120,88,25,7,2020,2020/7
7/9/2020,391,91,104,84,94,18,7,2020,2020/7
7/10/2020,306,65,90,47,91,13,7,2020,2020/7
7/11/2020,259,40,73,47,86,13,7,2020,2020/7
7/12/2020,223,44,55,42,69,13,7,2020,2020/7
7/13/2020,483,108,123,79,138,35,7,2020,2020/7
7/14/2020,402,70,111,81,121,19,7,2020,2020/7
7/15/2020,440,107,150,70,91,22,7,2020,2020/7
7/16/2020,411,94,90,83,109,35,7,2020,2020/7
7/17/2020,413,75,105,104,106,23,7,2020,2020/7
7/18/2020,216,54,58,36,49,19,7,2020,2020/7
7/19/2020,176,39,41,33,46,17,7,2020,2020/7
7/20/2020,401,95,85,80,109,32,7,2020,2020/7
7/21/2020,340,71,79,69,100,21,7,2020,2020/7
7/22/2020,329,79,96,58,76,20,7,2020,2020/7
7/23/2020,308,69,84,65,63,27,7,2020,2020/7
7/24/2020,298,73,68,54,75,28,7,2020,2020/7
7/25/2020,153,25,35,34,46,13,7,2020,2020/7
7/26/2020,140,30,40,18,33,19,7,2020,2020/7
7/27/2020,312,58,78,71,79,26,7,2020,2020/7
7/28/2020,313,58,106,58,73,18,7,2020,2020/7
7/29/2020,287,80,73,54,67,13,7,2020,2020/7
7/30/2020,274,58,99,44,61,12,7,2020,2020/7
7/31/2020,262,55,80,51,58,18,7,2020,2020/7
8/1/2020,189,37,58,33,54,7,8,2020,2020/8
8/2/2020,135,30,38,26,33,8,8,2020,2020/8
8/3/2020,348,96,93,56,84,19,8,2020,2020/8
8/4/2020,187,47,49,38,46,7,8,2020,2020/8
8/5/2020,298,66,90,47,80,15,8,2020,2020/8
8/6/2020,288,65,86,53,66,18,8,2020,2020/8
8/7/2020,255,53,90,49,57,6,8,2020,2020/8
8/8/2020,160,30,57,23,43,7,8,2020,2020/8
8/9/2020,133,19,48,18,36,12,8,2020,2020/8
8/10/2020,312,89,75,49,77,22,8,2020,2020/8
8/11/2020,263,70,82,42,51,18,8,2020,2020/8
8/12/2020,320,59,114,43,86,18,8,2020,2020/8
8/13/2020,276,61,86,50,67,12,8,2020,2020/8
8/14/2020,277,68,80,44,69,16,8,2020,2020/8
8/15/2020,151,42,33,25,42,9,8,2020,2020/8
8/16/2020,140,23,49,22,39,7,8,2020,2020/8
8/17/2020,333,71,96,57,95,14,8,2020,2020/8
8/18/2020,283,55,66,61,87,14,8,2020,2020/8
8/19/2020,257,50,69,51,69,18,8,2020,2020/8
8/20/2020,227,64,56,33,54,20,8,2020,2020/8
8/21/2020,252,52,75,51,60,14,8,2020,2020/8
8/22/2020,136,29,36,30,34,7,8,2020,2020/8
8/23/2020,150,32,55,16,40,7,8,2020,2020/8
8/24/2020,297,64,85,49,84,15,8,2020,2020/8
8/25/2020,283,64,84,54,69,12,8,2020,2020/8
8/26/2020,313,64,117,50,66,16,8,2020,2020/8
8/27/2020,274,53,99,48,61,13,8,2020,2020/8
8/28/2020,280,77,78,52,52,21,8,2020,2020/8
8/29/2020,128,28,38,23,32,7,8,2020,2020/8
8/30/2020,186,20,62,37,42,25,8,2020,2020/8
8/31/2020,315,46,118,52,77,22,8,2020,2020/8
9/1/2020,294,52,89,55,73,24,9,2020,2020/9
9/2/2020,271,42,94,48,69,17,9,2020,2020/9
9/3/2020,273,40,91,35,90,17,9,2020,2020/9
9/4/2020,230,44,71,30,59,26,9,2020,2020/9
9/5/2020,156,30,46,22,34,24,9,2020,2020/9
9/6/2020,207,18,87,27,62,13,9,2020,2020/9
9/7/2020,217,32,75,40,52,18,9,2020,2020/9
9/8/2020,393,81,126,58,98,30,9,2020,2020/9
9/9/2020,353,56,119,71,82,25,9,2020,2020/9
9/10/2020,323,45,124,57,70,27,9,2020,2020/9
9/11/2020,313,55,111,54,77,16,9,2020,2020/9
9/12/2020,202,35,51,36,61,19,9,2020,2020/9
9/13/2020,263,19,118,45,68,13,9,2020,2020/9
9/14/2020,462,75,178,78,105,26,9,2020,2020/9
9/15/2020,414,62,189,64,81,18,9,2020,2020/9
9/16/2020,457,60,201,84,94,18,9,2020,2020/9
9/17/2020,441,61,163,88,104,25,9,2020,2020/9
9/18/2020,292,45,108,46,69,24,9,2020,2020/9
9/19/2020,217,30,66,47,60,13,9,2020,2020/9
9/20/2020,221,32,78,47,43,21,9,2020,2020/9
9/21/2020,559,73,264,76,122,24,9,2020,2020/9
9/22/2020,497,67,209,88,107,26,9,2020,2020/9
9/23/2020,613,89,271,100,116,37,9,2020,2020/9
9/24/2020,542,71,263,82,100,26,9,2020,2020/9
9/25/2020,463,49,193,69,124,28,9,2020,2020/9
9/26/2020,280,42,109,35,61,33,9,2020,2020/9
9/27/2020,382,32,181,35,106,28,9,2020,2020/9
9/28/2020,437,82,139,58,110,47,9,2020,2020/9
9/29/2020,723,65,355,95,175,33,9,2020,2020/9
9/30/2020,605,52,284,93,135,41,9,2020,2020/9
10/1/2020,705,82,332,120,145,26,10,2020,2020/10
10/2/2020,605,80,271,78,140,36,10,2020,2020/10
10/3/2020,300,34,94,57,98,17,10,2020,2020/10
10/4/2020,335,34,162,29,84,26,10,2020,2020/10
10/5/2020,766,94,355,84,196,37,10,2020,2020/10
10/6/2020,571,67,251,79,145,29,10,2020,2020/10
10/7/2020,542,75,223,75,132,37,10,2020,2020/10
10/8/2020,525,83,217,80,112,33,10,2020,2020/10
10/9/2020,524,92,184,74,143,31,10,2020,2020/10
10/10/2020,314,36,96,46,99,36,10,2020,2020/10
10/11/2020,281,38,115,29,85,14,10,2020,2020/10
10/12/2020,515,53,223,85,116,37,10,2020,2020/10
10/13/2020,588,91,224,100,128,45,10,2020,2020/10
10/14/2020,583,89,215,86,159,33,10,2020,2020/10
10/15/2020,605,92,239,90,144,40,10,2020,2020/10
10/16/2020,503,78,163,91,132,38,10,2020,2020/10
10/17/2020,366,64,91,61,110,39,10,2020,2020/10
10/18/2020,412,45,172,39,123,33,10,2020,2020/10
10/19/2020,626,107,204,101,178,36,10,2020,2020/10
10/20/2020,601,91,214,104,154,38,10,2020,2020/10
10/21/2020,653,96,203,118,187,49,10,2020,2020/10
10/22/2020,759,122,242,137,182,76,10,2020,2020/10
10/23/2020,601,115,199,78,161,48,10,2020,2020/10
10/24/2020,386,73,120,58,103,32,10,2020,2020/10
10/25/2020,362,67,128,48,87,32,10,2020,2020/10
10/26/2020,695,132,221,118,154,69,10,2020,2020/10
10/27/2020,742,119,237,129,180,76,10,2020,2020/10
10/28/2020,783,124,231,135,203,90,10,2020,2020/10
10/29/2020,621,100,192,117,156,56,10,2020,2020/10
10/30/2020,654,115,192,102,168,77,10,2020,2020/10
10/31/2020,403,65,117,52,117,52,10,2020,2020/10
11/1/2020,501,57,231,66,102,45,11,2020,2020/11
11/2/2020,953,159,337,144,220,93,11,2020,2020/11
11/3/2020,903,153,319,158,181,92,11,2020,2020/11
11/4/2020,1113,187,312,199,277,138,11,2020,2020/11
11/5/2020,1139,198,312,212,306,111,11,2020,2020/11
11/6/2020,1037,192,238,179,297,131,11,2020,2020/11
11/7/2020,845,134,224,148,250,89,11,2020,2020/11
11/8/2020,788,106,224,133,226,99,11,2020,2020/11
11/9/2020,1546,240,418,268,418,202,11,2020,2020/11
11/10/2020,1599,274,459,311,409,146,11,2020,2020/11
11/11/2020,1541,239,394,290,449,169,11,2020,2020/11
11/12/2020,1501,248,383,300,406,164,11,2020,2020/11
11/13/2020,1494,272,356,263,430,173,11,2020,2020/11
11/14/2020,1026,193,238,160,324,111,11,2020,2020/11
11/15/2020,896,135,232,134,243,152,11,2020,2020/11
11/16/2020,1832,314,496,332,503,187,11,2020,2020/11
11/17/2020,1730,337,493,288,422,190,11,2020,2020/11
11/18/2020,1753,307,468,336,445,197,11,2020,2020/11
11/19/2020,1857,362,491,347,457,200,11,2020,2020/11
11/20/2020,1773,328,435,328,458,224,11,2020,2020/11
11/21/2020,1290,254,354,196,325,161,11,2020,2020/11
11/22/2020,1148,183,340,159,287,178,11,2020,2020/11
11/23/2020,2318,437,575,412,605,289,11,2020,2020/11
11/24/2020,2073,376,553,371,535,238,11,2020,2020/11
11/25/2020,2370,425,632,383,635,295,11,2020,2020/11
11/26/2020,817,137,246,138,204,92,11,2020,2020/11
11/27/2020,2298,388,603,385,649,273,11,2020,2020/11
11/28/2020,1835,333,453,327,507,215,11,2020,2020/11
11/29/2020,1881,243,559,294,505,280,11,2020,2020/11
11/30/2020,2893,460,899,422,734,378,11,2020,2020/11
12/1/2020,3299,588,945,546,857,363,12,2020,2020/12
12/2/2020,3129,541,860,501,843,384,12,2020,2020/12
12/3/2020,2939,523,845,453,781,337,12,2020,2020/12
12/4/2020,2816,562,768,401,757,328,12,2020,2020/12
12/5/2020,1887,325,506,210,597,249,12,2020,2020/12
12/6/2020,1756,250,557,216,517,216,12,2020,2020/12
12/7/2020,3302,554,963,448,967,370,12,2020,2020/12
12/8/2020,3059,496,922,450,900,291,12,2020,2020/12
12/9/2020,3106,528,913,496,851,318,12,2020,2020/12
12/10/2020,3149,572,939,463,897,277,12,2020,2020/12
12/11/2020,2979,501,836,494,880,266,12,2020,2020/12
12/12/2020,2206,392,600,297,699,218,12,2020,2020/12
12/13/2020,2176,311,645,296,676,248,12,2020,2020/12
12/14/2020,3578,614,1109,500,1004,350,12,2020,2020/12
12/15/2020,3681,634,1065,551,1092,339,12,2020,2020/12
12/16/2020,2787,445,842,454,810,236,12,2020,2020/12
12/17/2020,1925,266,649,336,488,186,12,2020,2020/12
12/18/2020,3427,619,1024,521,928,335,12,2020,2020/12
12/19/2020,2556,405,764,330,797,260,12,2020,2020/12
12/20/2020,2346,292,768,295,698,293,12,2020,2020/12
12/21/2020,4337,715,1307,598,1288,429,12,2020,2020/12
12/22/2020,4099,732,1251,548,1204,364,12,2020,2020/12
12/23/2020,3844,636,1099,524,1186,399,12,2020,2020/12
12/24/2020,3015,503,965,433,873,241,12,2020,2020/12
12/25/2020,1045,154,344,153,298,96,12,2020,2020/12
12/26/2020,3456,537,1024,427,1074,393,12,2020,2020/12
12/27/2020,2888,479,915,314,868,312,12,2020,2020/12
12/28/2020,5391,1020,1600,679,1530,562,12,2020,2020/12
12/29/2020,5205,992,1414,612,1603,584,12,2020,2020/12
12/30/2020,4984,967,1397,661,1493,465,12,2020,2020/12
12/31/2020,3393,665,936,396,1009,387,12,2020,2020/12
1/1/2021,1340,206,416,164,432,122,1,2021,2021/1
1/2/2021,4202,723,1108,518,1342,509,1,2021,2021/1
1/3/2021,3465,512,1065,396,1092,400,1,2021,2021/1
1/4/2021,6604,1257,1895,917,1877,658,1,2021,2021/1
1/5/2021,6154,1165,1758,892,1821,518,1,2021,2021/1
1/6/2021,5684,1109,1605,758,1687,524,1,2021,2021/1
1/7/2021,5445,982,1640,799,1572,452,1,2021,2021/1
1/8/2021,5296,983,1453,780,1599,481,1,2021,2021/1
1/9/2021,3690,677,1007,447,1188,371,1,2021,2021/1
1/10/2021,3199,462,1007,366,1020,344,1,2021,2021/1
1/11/2021,5915,1142,1755,845,1702,469,1,2021,2021/1
1/12/2021,5235,999,1616,671,1534,415,1,2021,2021/1
1/13/2021,5176,1044,1534,695,1525,378,1,2021,2021/1
1/14/2021,5259,995,1557,750,1538,419,1,2021,2021/1
1/15/2021,4845,933,1400,665,1490,356,1,2021,2021/1
1/16/2021,3479,607,1074,443,1058,297,1,2021,2021/1
1/17/2021,2921,501,904,398,862,256,1,2021,2021/1
1/18/2021,4642,768,1462,599,1434,379,1,2021,2021/1
1/19/2021,5140,1085,1475,724,1519,337,1,2021,2021/1
1/20/2021,4908,1038,1352,727,1439,352,1,2021,2021/1
1/21/2021,4938,960,1405,722,1501,350,1,2021,2021/1
1/22/2021,4712,1062,1322,706,1290,330,1,2021,2021/1
1/23/2021,3275,664,908,462,996,245,1,2021,2021/1
1/24/2021,2854,491,890,381,914,178,1,2021,2021/1
1/25/2021,5663,1153,1716,814,1622,357,1,2021,2021/1
1/26/2021,4699,991,1372,687,1368,281,1,2021,2021/1
1/27/2021,4781,962,1454,706,1380,279,1,2021,2021/1
1/28/2021,4677,957,1411,691,1349,268,1,2021,2021/1
1/29/2021,3669,733,1100,529,1073,234,1,2021,2021/1
1/30/2021,2870,557,875,356,917,164,1,2021,2021/1
1/31/2021,2894,548,883,333,912,218,1,2021,2021/1
2/1/2021,975,169,344,185,233,44,2,2021,2021/2
2/2/2021,2660,434,873,442,769,142,2,2021,2021/2
2/3/2021,5145,1093,1505,823,1403,321,2,2021,2021/2
2/4/2021,4853,1069,1389,704,1406,285,2,2021,2021/2
2/5/2021,4158,953,1244,538,1181,242,2,2021,2021/2
2/6/2021,3080,719,900,389,892,180,2,2021,2021/2
2/7/2021,1646,324,567,203,453,99,2,2021,2021/2
2/8/2021,4431,971,1345,610,1238,267,2,2021,2021/2
2/9/2021,3732,874,1090,518,1005,245,2,2021,2021/2
2/10/2021,3777,868,1060,569,1007,273,2,2021,2021/2
2/11/2021,3411,724,931,549,978,228,2,2021,2021/2
2/12/2021,3314,726,934,494,928,231,2,2021,2021/2
2/13/2021,2205,420,671,276,703,135,2,2021,2021/2
2/14/2021,1896,371,586,245,580,114,2,2021,2021/2
2/15/2021,2860,527,860,366,872,234,2,2021,2021/2
2/16/2021,3724,789,1110,611,1024,190,2,2021,2021/2
2/17/2021,3438,772,1006,542,922,196,2,2021,2021/2
2/18/2021,2048,383,591,411,553,110,2,2021,2021/2
2/19/2021,3019,618,855,462,856,228,2,2021,2021/2
2/20/2021,2494,510,681,346,785,172,2,2021,2021/2
2/21/2021,2285,359,792,317,666,151,2,2021,2021/2
2/22/2021,3613,750,1112,540,983,228,2,2021,2021/2
2/23/2021,3473,731,1074,532,934,201,2,2021,2021/2
2/24/2021,3464,713,1023,568,943,217,2,2021,2021/2
2/25/2021,3482,715,1026,514,965,262,2,2021,2021/2
2/26/2021,3240,675,942,518,889,216,2,2021,2021/2
2/27/2021,2017,377,625,248,629,138,2,2021,2021/2
2/28/2021,2038,329,733,253,574,149,2,2021,2021/2
3/1/2021,3726,730,1174,531,1031,260,3,2021,2021/3
3/2/2021,3110,562,936,495,862,255,3,2021,2021/3
3/3/2021,3242,638,954,523,861,266,3,2021,2021/3
3/4/2021,3121,575,935,495,862,253,3,2021,2021/3
3/5/2021,2888,553,887,404,808,236,3,2021,2021/3
3/6/2021,2043,330,594,259,688,172,3,2021,2021/3
3/7/2021,1875,291,595,238,604,147,3,2021,2021/3
3/8/2021,3402,625,1109,490,919,259,3,2021,2021/3
3/9/2021,3342,581,1086,527,915,233,3,2021,2021/3
3/10/2021,3201,561,957,517,907,259,3,2021,2021/3
3/11/2021,3106,544,964,464,921,213,3,2021,2021/3
3/12/2021,3203,572,937,486,964,244,3,2021,2021/3
3/13/2021,2176,331,627,285,756,177,3,2021,2021/3
3/14/2021,1924,249,642,224,660,149,3,2021,2021/3
3/15/2021,3392,561,1063,450,1092,226,3,2021,2021/3
3/16/2021,3196,569,988,492,934,213,3,2021,2021/3
3/17/2021,3173,515,940,507,944,267,3,2021,2021/3
3/18/2021,2918,499,854,446,887,232,3,2021,2021/3
3/19/2021,3049,546,905,434,897,267,3,2021,2021/3
3/20/2021,2159,334,661,268,735,160,3,2021,2021/3
3/21/2021,2089,294,707,233,681,174,3,2021,2021/3
3/22/2021,3881,654,1215,578,1116,317,3,2021,2021/3
3/23/2021,3249,566,1025,467,939,252,3,2021,2021/3
3/24/2021,3454,580,1046,526,1014,288,3,2021,2021/3
3/25/2021,3798,637,1149,587,1130,295,3,2021,2021/3
3/26/2021,3416,567,1000,495,1045,309,3,2021,2021/3
3/27/2021,2223,363,633,270,742,215,3,2021,2021/3
3/28/2021,1752,254,575,224,547,152,3,2021,2021/3
3/29/2021,3557,626,1043,485,1092,311,3,2021,2021/3
3/30/2021,3188,593,941,472,936,246,3,2021,2021/3
3/31/2021,3186,508,960,517,940,261,3,2021,2021/3
4/1/2021,2865,501,861,446,830,227,4,2021,2021/4
4/2/2021,2618,360,846,380,811,221,4,2021,2021/4
4/3/2021,2051,313,639,233,665,201,4,2021,2021/4
4/4/2021,1467,192,497,180,456,142,4,2021,2021/4
4/5/2021,3270,505,1039,467,975,284,4,2021,2021/4
4/6/2021,3001,500,932,462,862,245,4,2021,2021/4
4/7/2021,2762,467,868,412,788,227,4,2021,2021/4
4/8/2021,2574,417,812,322,787,236,4,2021,2021/4
4/9/2021,2468,356,803,322,734,253,4,2021,2021/4
4/10/2021,1723,231,564,196,582,150,4,2021,2021/4
4/11/2021,1315,179,462,148,397,129,4,2021,2021/4
4/12/2021,2533,404,852,331,741,205,4,2021,2021/4
4/13/2021,2363,385,774,344,693,167,4,2021,2021/4
4/14/2021,2241,348,721,320,638,214,4,2021,2021/4
4/15/2021,2016,354,641,281,561,179,4,2021,2021/4
4/16/2021,1834,260,595,227,568,184,4,2021,2021/4
4/17/2021,1275,209,411,129,411,115,4,2021,2021/4
4/18/2021,1056,165,361,128,296,106,4,2021,2021/4
4/19/2021,1882,287,639,231,543,182,4,2021,2021/4
4/20/2021,1604,286,516,222,433,146,4,2021,2021/4
4/21/2021,1416,208,508,181,388,131,4,2021,2021/4
4/22/2021,1360,227,488,143,375,127,4,2021,2021/4
4/23/2021,1288,217,438,131,368,134,4,2021,2021/4
4/24/2021,852,123,308,87,255,79,4,2021,2021/4
4/25/2021,757,97,270,75,246,69,4,2021,2021/4
4/26/2021,1371,226,498,167,358,121,4,2021,2021/4
4/27/2021,1138,204,391,144,302,97,4,2021,2021/4
4/28/2021,1215,192,419,132,361,111,4,2021,2021/4
4/29/2021,1056,154,392,151,268,91,4,2021,2021/4
4/30/2021,963,173,328,106,276,80,4,2021,2021/4
5/1/2021,578,86,190,63,181,58,5,2021,2021/5
5/2/2021,569,73,221,50,165,60,5,2021,2021/5
5/3/2021,937,151,318,127,267,73,5,2021,2021/5
5/4/2021,876,156,297,103,239,81,5,2021,2021/5
5/5/2021,781,142,244,110,224,61,5,2021,2021/5
5/6/2021,786,133,268,100,231,54,5,2021,2021/5
5/7/2021,715,137,225,80,193,80,5,2021,2021/5
5/8/2021,385,61,122,41,123,38,5,2021,2021/5
5/9/2021,343,53,106,48,110,26,5,2021,2021/5
5/10/2021,654,130,207,89,178,50,5,2021,2021/5
5/11/2021,628,90,216,70,188,64,5,2021,2021/5
5/12/2021,594,109,196,68,155,66,5,2021,2021/5
5/13/2021,516,93,147,75,151,49,5,2021,2021/5
5/14/2021,486,77,145,58,160,46,5,2021,2021/5
5/15/2021,292,46,94,33,99,20,5,2021,2021/5
5/16/2021,280,48,99,31,84,18,5,2021,2021/5
5/17/2021,453,79,151,72,114,37,5,2021,2021/5
5/18/2021,415,71,138,60,102,44,5,2021,2021/5
5/19/2021,377,74,129,41,106,27,5,2021,2021/5
5/20/2021,395,67,133,51,111,33,5,2021,2021/5
5/21/2021,349,54,115,48,105,27,5,2021,2021/5
5/22/2021,233,35,81,28,68,21,5,2021,2021/5
5/23/2021,187,29,63,17,55,23,5,2021,2021/5
5/24/2021,355,57,105,51,95,47,5,2021,2021/5
5/25/2021,305,48,101,37,82,37,5,2021,2021/5
5/26/2021,249,44,81,40,74,10,5,2021,2021/5
5/27/2021,257,56,62,39,67,33,5,2021,2021/5
5/28/2021,210,36,67,23,66,18,5,2021,2021/5
5/29/2021,126,22,32,23,40,9,5,2021,2021/5
5/30/2021,119,25,34,16,30,14,5,2021,2021/5
5/31/2021,118,15,35,20,38,10,5,2021,2021/5
6/1/2021,288,71,59,52,76,30,6,2021,2021/6
6/2/2021,244,52,70,33,68,21,6,2021,2021/6
6/3/2021,206,45,62,24,61,14,6,2021,2021/6
6/4/2021,224,57,65,34,43,25,6,2021,2021/6
